in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,*,YES,*,*,*,*,YES,NO,153,181,"1,547,008","1,325,277",0.8567
*,*,*,*,YES,YES,*,YES,*,NO,57,181,"1,358,708","388,871",0.2862
NO,*,NO,*,YES,NO,NO,*,*,NO,48,181,"1,348,348","371,691",0.2757
NO,*,*,YES,*,*,NO,*,*,NO,48,181,"1,426,020","421,056",0.2953
*,NO,NO,NO,*,YES,*,*,*,NO,85,181,"1,263,435","509,586",0.4033
*,NO,*,NO,*,YES,*,*,*,NO,85,181,"1,263,435","509,586",0.4033
*,YES,YES,YES,YES,NO,NO,NO,NO,YES,1,181,"1,347,964","25,277",0.0188
*,YES,YES,*,YES,NO,NO,NO,NO,YES,1,181,"1,347,964","25,277",0.0188
YES,YES,NO,*,YES,YES,NO,NO,NO,YES,0,181,"910,221",0,0.0000
*,*,NO,NO,YES,NO,*,NO,NO,YES,1,181,"1,074,007","11,210",0.0104
*,*,*,NO,YES,NO,*,NO,NO,YES,1,181,"1,074,007","11,210",0.0104
*,YES,*,*,*,NO,NO,NO,YES,YES,152,181,"1,211,221","1,020,570",0.8426
YES,*,*,YES,YES,YES,NO,NO,YES,YES,166,181,"893,779","801,952",0.8973
*,YES,NO,*,YES,*,NO,NO,YES,YES,150,181,"1,117,557","926,100",0.8287
NO,NO,*,YES,*,YES,*,NO,YES,YES,170,181,"863,602","789,295",0.9140
NO,YES,NO,*,*,*,YES,*,YES,YES,158,181,"1,155,298","997,831",0.8637
*,YES,NO,YES,YES,YES,NO,NO,*,YES,15,181,"929,231","64,849",0.0698
*,YES,NO,NO,*,*,*,NO,*,YES,47,181,"1,044,930","292,490",0.2799
*,YES,*,NO,*,*,*,NO,*,YES,47,181,"1,044,930","292,490",0.2799
*,YES,*,*,NO,*,*,*,*,YES,40,181,"1,408,934","290,946",0.2065
*,*,NO,NO,NO,NO,*,YES,NO,*,1,181,"1,325,734","9,664",0.0073
*,*,*,NO,NO,NO,*,YES,NO,*,1,181,"1,325,734","9,664",0.0073
NO,NO,*,YES,YES,*,YES,*,NO,*,0,181,"1,183,560",0,0.0000
NO,*,*,YES,YES,YES,*,NO,YES,*,170,181,"821,905","747,598",0.9096
*,NO,NO,NO,*,NO,NO,YES,YES,*,159,181,"1,118,219","1,000,132",0.8944
*,NO,*,NO,*,NO,NO,YES,YES,*,159,181,"1,118,219","1,000,132",0.8944
YES,*,NO,NO,YES,NO,*,YES,YES,*,153,181,"1,259,448","1,081,064",0.8584
YES,*,*,NO,YES,NO,*,YES,YES,*,153,181,"1,259,448","1,081,064",0.8584
NO,NO,NO,NO,*,NO,YES,*,*,*,107,181,"1,054,907","575,745",0.5458
NO,NO,*,NO,*,NO,YES,*,*,*,107,181,"1,054,907","575,745",0.5458
YES,*,NO,*,NO,*,YES,*,*,*,59,181,"1,373,344","417,093",0.3037
YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,0,180,"1,954,130",0,0.0000
YES,YES,YES,*,YES,NO,NO,YES,NO,NO,0,180,"1,954,130",0,0.0000
NO,*,NO,NO,*,*,*,YES,NO,NO,0,180,"1,214,227",0,0.0000
NO,*,*,NO,*,*,*,YES,NO,NO,0,180,"1,214,227",0,0.0000
YES,NO,*,YES,*,*,*,YES,NO,NO,0,180,"1,842,351",0,0.0000
*,YES,NO,YES,YES,NO,NO,*,NO,NO,1,180,"1,535,024","5,021",0.0033
*,*,NO,NO,*,NO,YES,*,NO,NO,0,180,"1,285,908",0,0.0000
*,*,*,NO,*,NO,YES,*,NO,NO,0,180,"1,285,908",0,0.0000
*,*,*,YES,*,NO,YES,*,NO,NO,0,180,"1,463,907",0,0.0000
*,*,*,*,*,YES,*,*,NO,NO,0,180,"1,356,777",0,0.0000
*,*,*,*,*,*,NO,YES,YES,NO,158,180,"1,465,492","1,286,108",0.8776
*,*,NO,*,*,*,*,NO,*,NO,81,180,"1,253,731","527,070",0.4204
YES,*,NO,YES,YES,NO,NO,YES,*,NO,14,180,"1,643,864","136,616",0.0831
*,*,*,YES,YES,NO,YES,YES,*,NO,39,180,"1,436,133","299,615",0.2086
YES,YES,*,*,*,NO,YES,YES,*,NO,29,180,"1,475,553","228,318",0.1547
NO,*,NO,*,YES,*,YES,YES,*,NO,70,180,"1,261,864","501,354",0.3973
*,NO,*,*,*,YES,*,YES,*,NO,66,180,"1,316,720","426,672",0.3240
YES,*,*,*,YES,NO,YES,*,*,NO,36,180,"1,476,770","307,562",0.2083
*,YES,NO,NO,*,NO,YES,*,*,NO,47,180,"1,314,949","338,392",0.2573
*,YES,*,NO,*,NO,YES,*,*,NO,47,180,"1,314,949","338,392",0.2573
*,*,NO,*,NO,*,YES,*,*,NO,58,180,"1,244,043","379,600",0.3051
NO,NO,NO,NO,*,*,*,*,*,NO,91,180,"1,118,976","577,260",0.5159
YES,NO,NO,NO,*,*,*,*,*,NO,60,180,"1,393,072","424,183",0.3045
NO,NO,*,NO,*,*,*,*,*,NO,91,180,"1,118,976","577,260",0.5159
YES,NO,*,NO,*,*,*,*,*,NO,60,180,"1,393,072","424,183",0.3045
NO,YES,YES,YES,*,NO,*,YES,NO,YES,1,180,"1,218,978","9,758",0.0080
NO,YES,YES,*,*,NO,*,YES,NO,YES,1,180,"1,218,978","9,758",0.0080
YES,*,*,*,NO,*,*,*,NO,YES,0,180,"1,335,381",0,0.0000
NO,*,*,YES,YES,YES,*,NO,YES,YES,169,180,"817,599","743,292",0.9091
YES,YES,YES,YES,*,*,*,YES,YES,YES,134,180,"1,496,677","1,162,181",0.7765
YES,YES,YES,*,*,*,*,YES,YES,YES,134,180,"1,496,677","1,162,181",0.7765
*,*,NO,*,NO,*,*,*,YES,YES,172,180,"1,213,528","1,151,505",0.9489
*,*,*,*,YES,NO,YES,NO,NO,*,1,180,"1,271,126","11,210",0.0088
YES,*,*,*,YES,*,YES,NO,NO,*,1,180,"1,160,596","11,210",0.0097
*,YES,NO,*,NO,*,NO,*,NO,*,1,180,"1,364,844","9,664",0.0071
*,*,*,YES,*,*,YES,NO,YES,*,160,180,"1,141,766","1,016,591",0.8904
NO,*,NO,*,*,*,YES,NO,YES,*,164,180,"1,010,535","911,139",0.9016
*,YES,NO,YES,*,NO,*,NO,YES,*,149,180,"1,211,815","1,021,316",0.8428
YES,YES,*,YES,*,*,YES,YES,YES,*,153,180,"1,406,390","1,200,809",0.8538
NO,YES,*,YES,*,*,YES,*,YES,*,157,180,"1,204,121","1,039,768",0.8635
YES,*,NO,YES,*,*,YES,NO,*,*,61,180,"1,146,878","398,815",0.3477
NO,YES,NO,YES,YES,NO,*,NO,*,*,78,180,"1,110,929","509,440",0.4586
*,*,*,YES,NO,*,NO,YES,*,*,32,180,"1,463,530","271,645",0.1856
*,*,NO,NO,NO,NO,NO,*,*,*,57,180,"1,245,597","351,447",0.2822
*,*,*,NO,NO,NO,NO,*,*,*,57,180,"1,245,597","351,447",0.2822
*,NO,*,YES,*,YES,YES,*,*,*,45,180,"979,706","229,180",0.2339
YES,NO,*,*,YES,*,NO,YES,NO,NO,0,179,"1,829,794",0,0.0000
NO,*,*,YES,*,NO,*,YES,NO,NO,0,179,"1,304,548",0,0.0000
YES,YES,NO,YES,YES,*,*,*,NO,NO,1,179,"1,568,008","5,021",0.0032
*,NO,NO,NO,*,NO,*,*,*,NO,66,179,"1,248,613","491,858",0.3939
*,NO,*,NO,*,NO,*,*,*,NO,66,179,"1,248,613","491,858",0.3939
NO,YES,YES,YES,YES,NO,*,YES,NO,YES,1,179,"1,215,355","9,758",0.0080
NO,YES,YES,*,YES,NO,*,YES,NO,YES,1,179,"1,215,355","9,758",0.0080
YES,YES,YES,YES,YES,*,*,YES,YES,YES,133,179,"1,488,694","1,154,198",0.7753
YES,YES,YES,*,YES,*,*,YES,YES,YES,133,179,"1,488,694","1,154,198",0.7753
NO,YES,*,YES,YES,*,NO,NO,*,YES,69,179,"1,041,079","407,400",0.3913
NO,YES,*,YES,*,*,NO,NO,*,YES,69,179,"1,041,079","407,400",0.3913
YES,*,*,*,NO,*,NO,*,*,YES,48,179,"1,312,038","362,479",0.2763
NO,NO,NO,YES,*,YES,NO,YES,NO,*,1,179,"1,042,593","3,134",0.0030
NO,YES,YES,YES,*,*,NO,*,NO,*,1,179,"1,249,958","9,758",0.0078
NO,YES,YES,*,*,*,NO,*,NO,*,1,179,"1,249,958","9,758",0.0078
YES,*,*,YES,NO,*,*,*,NO,*,0,179,"1,490,830",0,0.0000
YES,NO,NO,NO,YES,*,NO,NO,YES,*,168,179,"875,462","812,616",0.9282
YES,NO,*,NO,YES,*,NO,NO,YES,*,168,179,"875,462","812,616",0.9282
YES,YES,*,*,YES,NO,YES,YES,YES,*,151,179,"1,397,197","1,199,741",0.8587
YES,YES,NO,*,YES,NO,YES,*,YES,*,151,179,"1,330,974","1,132,121",0.8506
NO,YES,*,YES,*,NO,YES,*,YES,*,156,179,"1,201,691","1,037,338",0.8632
YES,NO,*,YES,*,*,YES,*,YES,*,158,179,"1,357,930","1,163,265",0.8566
*,YES,*,*,YES,NO,YES,NO,*,*,63,179,"1,285,436","458,002",0.3563
*,NO,NO,*,*,YES,YES,NO,*,*,91,179,"882,139","450,002",0.5101
*,NO,YES,YES,*,*,YES,YES,*,*,18,179,"1,450,376","121,361",0.0837
*,NO,YES,*,*,*,YES,YES,*,*,18,179,"1,450,376","121,361",0.0837
YES,YES,*,*,NO,*,NO,*,*,*,34,179,"1,378,132","271,962",0.1973
NO,NO,YES,YES,YES,NO,*,*,*,*,53,179,"1,319,252","359,858",0.2728
NO,NO,YES,*,YES,NO,*,*,*,*,53,179,"1,319,252","359,858",0.2728
*,*,*,*,NO,*,NO,*,NO,NO,2,178,"1,377,537","19,328",0.0140
*,YES,NO,NO,YES,NO,*,*,NO,NO,0,178,"1,316,357",0,0.0000
*,YES,*,NO,YES,NO,*,*,NO,NO,0,178,"1,316,357",0,0.0000
YES,YES,NO,NO,*,NO,*,*,NO,NO,1,178,"1,309,372","9,664",0.0074
YES,YES,*,NO,*,NO,*,*,NO,NO,1,178,"1,309,372","9,664",0.0074
*,NO,*,*,*,*,*,YES,YES,NO,161,178,"1,303,192","1,180,183",0.9056
*,*,NO,*,NO,*,NO,YES,*,NO,47,178,"1,312,980","321,205",0.2446
*,*,NO,NO,YES,NO,YES,*,*,NO,54,178,"1,314,264","425,852",0.3240
*,*,*,NO,YES,NO,YES,*,*,NO,54,178,"1,314,264","425,852",0.3240
*,NO,NO,*,YES,*,YES,*,*,NO,71,178,"1,295,392","506,881",0.3913
NO,*,NO,*,NO,*,*,*,*,NO,67,178,"1,144,717","405,113",0.3539
*,*,*,YES,*,YES,YES,*,NO,YES,0,178,"941,178",0,0.0000
NO,NO,NO,*,YES,NO,YES,YES,YES,YES,156,178,"935,245","830,466",0.8880
YES,YES,*,YES,*,NO,YES,*,YES,YES,150,178,"1,362,847","1,156,769",0.8488
NO,YES,NO,*,YES,*,YES,*,YES,YES,156,178,"1,139,334","988,551",0.8677
*,*,NO,YES,*,YES,YES,*,*,YES,35,178,"922,971","182,488",0.1977
*,NO,*,*,NO,YES,*,*,*,YES,108,178,"1,185,181","731,246",0.6170
NO,*,*,YES,YES,YES,NO,NO,NO,*,0,178,"825,943",0,0.0000
NO,*,*,YES,*,YES,NO,NO,NO,*,0,178,"825,943",0,0.0000
*,YES,*,*,NO,*,NO,YES,NO,*,1,178,"1,365,276","9,664",0.0071
*,YES,*,YES,YES,*,NO,NO,YES,*,150,178,"1,183,030","1,008,808",0.8527
YES,*,NO,NO,*,YES,*,NO,YES,*,171,178,"849,773","820,500",0.9656
YES,*,*,NO,*,YES,*,NO,YES,*,171,178,"849,773","820,500",0.9656
*,YES,NO,NO,*,NO,NO,*,YES,*,154,178,"1,160,688","991,767",0.8545
*,YES,*,NO,*,NO,NO,*,YES,*,154,178,"1,160,688","991,767",0.8545
YES,YES,YES,YES,*,*,NO,*,YES,*,134,178,"1,491,003","1,157,300",0.7762
YES,YES,YES,*,*,*,NO,*,YES,*,134,178,"1,491,003","1,157,300",0.7762
YES,NO,NO,*,YES,NO,YES,*,YES,*,156,178,"1,328,451","1,147,081",0.8635
NO,*,NO,*,YES,NO,YES,NO,*,*,114,178,"1,054,076","644,553",0.6115
YES,*,*,*,NO,YES,*,*,*,*,72,178,"1,273,893","517,645",0.4063
NO,*,NO,*,*,*,NO,YES,NO,NO,0,177,"1,259,534",0,0.0000
*,YES,NO,NO,YES,*,*,YES,NO,NO,0,177,"1,286,059",0,0.0000
*,YES,*,NO,YES,*,*,YES,NO,NO,0,177,"1,286,059",0,0.0000
YES,*,NO,YES,YES,NO,NO,*,NO,NO,1,177,"1,588,925","5,021",0.0032
NO,NO,*,*,*,NO,*,YES,*,NO,60,177,"1,300,693","440,931",0.3390
YES,NO,*,YES,*,*,NO,*,*,NO,15,177,"1,827,478","141,452",0.0774
*,NO,NO,YES,*,NO,*,*,*,NO,46,177,"1,460,285","373,007",0.2554
NO,NO,NO,YES,*,YES,NO,YES,NO,YES,1,177,"1,031,608","3,134",0.0030
YES,*,NO,NO,*,NO,YES,YES,NO,YES,2,177,"1,413,556","13,903",0.0098
YES,*,*,NO,*,NO,YES,YES,NO,YES,2,177,"1,413,556","13,903",0.0098
*,YES,*,*,YES,NO,NO,NO,YES,YES,148,177,"1,172,739","982,089",0.8374
YES,NO,NO,NO,YES,*,NO,NO,YES,YES,167,177,"860,334","807,259",0.9383
YES,NO,*,NO,YES,*,NO,NO,YES,YES,167,177,"860,334","807,259",0.9383
YES,*,NO,NO,YES,NO,NO,NO,*,YES,62,177,"997,849","304,595",0.3053
YES,*,*,NO,YES,NO,NO,NO,*,YES,62,177,"997,849","304,595",0.3053
NO,NO,NO,NO,YES,NO,*,NO,*,YES,135,177,"814,528","588,380",0.7224
NO,NO,*,NO,YES,NO,*,NO,*,YES,135,177,"814,528","588,380",0.7224
*,NO,NO,NO,*,NO,YES,YES,*,YES,71,177,"1,140,098","394,499",0.3460
*,NO,*,NO,*,NO,YES,YES,*,YES,71,177,"1,140,098","394,499",0.3460
YES,YES,NO,NO,*,YES,*,*,*,YES,12,177,"954,121","53,223",0.0558
YES,YES,*,NO,*,YES,*,*,*,YES,12,177,"954,121","53,223",0.0558
NO,*,NO,YES,*,NO,NO,NO,NO,*,1,177,"1,025,574","8,927",0.0087
YES,YES,YES,YES,*,NO,NO,NO,NO,*,1,177,"1,326,555","25,277",0.0191
YES,YES,YES,*,*,NO,NO,NO,NO,*,1,177,"1,326,555","25,277",0.0191
NO,NO,*,YES,*,YES,*,NO,NO,*,0,177,"810,552",0,0.0000
NO,NO,NO,YES,YES,YES,NO,YES,NO,*,1,177,"1,029,855","3,134",0.0030
YES,YES,*,*,NO,NO,*,YES,NO,*,1,177,"1,411,777","9,664",0.0068
*,YES,NO,NO,*,YES,NO,*,NO,*,0,177,"949,872",0,0.0000
*,YES,*,NO,*,YES,NO,*,NO,*,0,177,"949,872",0,0.0000
*,*,NO,NO,NO,*,NO,*,NO,*,2,177,"1,237,819","19,328",0.0156
*,*,*,NO,NO,*,NO,*,NO,*,2,177,"1,237,819","19,328",0.0156
NO,*,*,*,YES,*,YES,NO,YES,*,160,177,"1,003,243","892,802",0.8899
YES,YES,YES,YES,YES,*,NO,*,YES,*,133,177,"1,486,322","1,152,618",0.7755
YES,YES,YES,*,YES,*,NO,*,YES,*,133,177,"1,486,322","1,152,618",0.7755
NO,*,*,*,NO,*,*,*,YES,*,168,177,"1,092,899","1,040,878",0.9524
*,*,*,*,YES,YES,YES,NO,*,*,86,177,"839,278","426,426",0.5081
NO,NO,YES,YES,YES,*,NO,YES,*,*,51,177,"1,304,147","342,036",0.2623
NO,NO,YES,*,YES,*,NO,YES,*,*,51,177,"1,304,147","342,036",0.2623
*,*,NO,NO,YES,*,NO,YES,NO,NO,0,176,"1,301,633",0,0.0000
*,*,*,NO,YES,*,NO,YES,NO,NO,0,176,"1,301,633",0,0.0000
*,YES,NO,YES,YES,*,NO,YES,NO,NO,0,176,"1,502,067",0,0.0000
*,*,*,YES,*,NO,YES,YES,NO,NO,0,176,"1,424,719",0,0.0000
*,YES,*,*,YES,*,YES,*,NO,NO,0,176,"1,392,252",0,0.0000
NO,YES,*,*,YES,*,*,*,NO,NO,0,176,"1,286,421",0,0.0000
*,YES,NO,*,*,NO,*,*,YES,NO,153,176,"1,301,797","1,139,915",0.8756
YES,NO,*,YES,*,NO,*,YES,*,NO,14,176,"1,835,033","135,404",0.0738
*,NO,*,*,NO,*,*,*,*,NO,75,176,"1,233,779","496,485",0.4024
NO,*,NO,YES,YES,*,*,*,*,NO,47,176,"1,344,444","361,841",0.2691
NO,*,*,YES,YES,YES,NO,NO,NO,YES,0,176,"811,459",0,0.0000
NO,*,*,YES,*,YES,NO,NO,NO,YES,0,176,"811,459",0,0.0000
NO,*,NO,NO,YES,NO,NO,*,NO,YES,1,176,"955,707","5,346",0.0056
NO,*,*,NO,YES,NO,NO,*,NO,YES,1,176,"955,707","5,346",0.0056
*,*,NO,NO,*,NO,YES,*,YES,YES,162,176,"1,015,699","925,529",0.9112
*,*,*,NO,*,NO,YES,*,YES,YES,162,176,"1,015,699","925,529",0.9112
NO,YES,NO,*,*,NO,YES,*,YES,YES,153,176,"1,144,058","986,591",0.8624
YES,NO,NO,NO,*,NO,*,*,YES,YES,154,176,"1,064,071","922,919",0.8673
YES,NO,*,NO,*,NO,*,*,YES,YES,154,176,"1,064,071","922,919",0.8673
NO,NO,NO,*,YES,*,YES,NO,*,YES,115,176,"929,754","595,830",0.6408
*,YES,*,*,*,*,YES,NO,*,YES,59,176,"1,215,111","437,694",0.3602
*,*,*,*,NO,NO,*,YES,*,YES,51,176,"1,351,141","369,429",0.2734
NO,NO,*,*,YES,NO,*,NO,NO,*,1,176,"968,604","8,927",0.0092
NO,NO,*,YES,YES,YES,*,NO,NO,*,0,176,"802,149",0,0.0000
YES,YES,NO,*,NO,*,*,YES,NO,*,1,176,"1,373,476","9,664",0.0070
NO,YES,YES,YES,YES,*,NO,*,NO,*,1,176,"1,229,235","9,758",0.0079
NO,YES,YES,*,YES,*,NO,*,NO,*,1,176,"1,229,235","9,758",0.0079
NO,NO,NO,NO,*,NO,*,*,NO,*,1,176,"1,058,964","5,346",0.0050
NO,NO,*,NO,*,NO,*,*,NO,*,1,176,"1,058,964","5,346",0.0050
*,NO,NO,NO,*,NO,NO,NO,YES,*,168,176,"834,985","782,634",0.9373
*,NO,*,NO,*,NO,NO,NO,YES,*,168,176,"834,985","782,634",0.9373
YES,NO,*,YES,*,YES,NO,NO,YES,*,162,176,"903,205","816,671",0.9042
*,*,*,YES,YES,*,YES,NO,YES,*,156,176,"1,116,888","991,712",0.8879
YES,YES,*,YES,*,NO,YES,YES,YES,*,150,176,"1,375,375","1,179,834",0.8578
YES,NO,NO,YES,*,YES,*,YES,YES,*,150,176,"1,079,132","925,696",0.8578
*,YES,NO,*,NO,NO,NO,YES,*,*,46,176,"1,338,651","336,667",0.2515
*,YES,*,YES,NO,*,*,YES,*,*,34,176,"1,457,946","266,663",0.1829
YES,*,*,YES,YES,YES,YES,*,*,*,30,176,"1,007,705","193,863",0.1924
NO,YES,NO,NO,*,*,YES,*,*,*,70,176,"1,117,855","454,248",0.4064
NO,YES,*,NO,*,*,YES,*,*,*,70,176,"1,117,855","454,248",0.4064
NO,*,NO,NO,*,NO,*,*,NO,NO,0,175,"1,225,182",0,0.0000
NO,*,*,NO,*,NO,*,*,NO,NO,0,175,"1,225,182",0,0.0000
*,*,*,*,NO,NO,NO,YES,*,NO,39,175,"1,330,512","263,808",0.1983
NO,YES,NO,*,*,NO,NO,*,*,NO,39,175,"1,276,157","283,365",0.2220
NO,*,NO,*,YES,NO,YES,*,*,NO,61,175,"1,271,517","450,116",0.3540
*,NO,NO,NO,*,*,YES,*,*,NO,81,175,"1,181,350","547,193",0.4632
*,NO,*,NO,*,*,YES,*,*,NO,81,175,"1,181,350","547,193",0.4632
*,YES,NO,NO,NO,*,*,*,*,NO,42,175,"1,199,692","263,171",0.2194
*,YES,*,NO,NO,*,*,*,*,NO,42,175,"1,199,692","263,171",0.2194
NO,NO,*,*,*,NO,*,NO,NO,YES,1,175,"976,753","8,927",0.0091
NO,NO,NO,YES,YES,YES,NO,YES,NO,YES,1,175,"1,018,871","3,134",0.0031
YES,*,NO,NO,YES,NO,YES,*,NO,YES,3,175,"1,400,297","25,113",0.0179
YES,*,*,NO,YES,NO,YES,*,NO,YES,3,175,"1,400,297","25,113",0.0179
YES,*,NO,YES,*,YES,*,NO,YES,YES,159,175,"899,807","806,249",0.8960
YES,*,YES,YES,YES,NO,NO,YES,YES,YES,129,175,"1,481,283","1,129,894",0.7628
YES,*,YES,*,YES,NO,NO,YES,YES,YES,129,175,"1,481,283","1,129,894",0.7628
YES,*,YES,YES,*,NO,NO,YES,YES,YES,129,175,"1,481,283","1,129,894",0.7628
YES,*,YES,*,*,NO,NO,YES,YES,YES,129,175,"1,481,283","1,129,894",0.7628
YES,NO,*,*,YES,*,YES,NO,*,YES,82,175,"978,984","456,390",0.4662
NO,*,NO,YES,YES,NO,NO,NO,NO,*,1,175,"1,005,235","8,927",0.0089
YES,YES,YES,YES,YES,NO,NO,NO,NO,*,1,175,"1,314,215","25,277",0.0192
YES,YES,YES,*,YES,NO,NO,NO,NO,*,1,175,"1,314,215","25,277",0.0192
NO,*,NO,NO,YES,NO,NO,YES,NO,*,1,175,"1,039,523","5,346",0.0051
NO,*,*,NO,YES,NO,NO,YES,NO,*,1,175,"1,039,523","5,346",0.0051
YES,YES,NO,NO,*,NO,YES,YES,NO,*,1,175,"1,411,813","2,791",0.0020
YES,YES,*,NO,*,NO,YES,YES,NO,*,1,175,"1,411,813","2,791",0.0020
*,YES,*,*,NO,NO,NO,*,NO,*,1,175,"1,351,606","9,664",0.0072
*,NO,NO,*,NO,*,*,*,NO,*,1,175,"1,206,160","9,664",0.0080
NO,NO,*,YES,*,YES,NO,NO,YES,*,164,175,"849,506","775,199",0.9125
*,YES,NO,YES,YES,NO,*,NO,YES,*,144,175,"1,174,446","983,947",0.8378
YES,YES,NO,*,*,*,YES,YES,YES,*,150,175,"1,293,216","1,097,760",0.8489
*,YES,NO,NO,YES,NO,*,YES,YES,*,147,175,"1,193,840","1,020,977",0.8552
*,YES,*,NO,YES,NO,*,YES,YES,*,147,175,"1,193,840","1,020,977",0.8552
NO,YES,*,YES,YES,*,YES,*,YES,*,153,175,"1,170,344","1,012,676",0.8653
*,NO,YES,YES,YES,*,YES,YES,*,*,16,175,"1,422,133","105,836",0.0744
*,NO,YES,*,YES,*,YES,YES,*,*,16,175,"1,422,133","105,836",0.0744
YES,*,NO,YES,NO,*,*,*,*,*,48,175,"1,460,627","404,813",0.2771
YES,*,NO,*,*,NO,YES,*,NO,NO,0,174,"1,382,319",0,0.0000
*,*,NO,*,*,YES,NO,*,*,NO,61,174,"1,269,735","403,049",0.3174
YES,YES,NO,*,*,*,YES,*,*,NO,30,174,"1,376,165","234,134",0.1701
*,YES,NO,YES,*,YES,*,NO,NO,YES,0,174,"917,841",0,0.0000
NO,NO,*,YES,*,YES,*,NO,NO,YES,0,174,"788,494",0,0.0000
NO,NO,*,*,*,NO,YES,*,NO,YES,0,174,"1,147,509",0,0.0000
NO,NO,*,YES,*,YES,NO,NO,YES,YES,163,174,"841,176","766,869",0.9117
YES,YES,*,*,*,*,YES,YES,YES,YES,149,174,"1,338,140","1,145,592",0.8561
YES,YES,YES,YES,*,NO,*,*,YES,YES,133,174,"1,514,101","1,221,445",0.8067
YES,YES,YES,*,*,NO,*,*,YES,YES,133,174,"1,514,101","1,221,445",0.8067
NO,*,NO,NO,YES,NO,NO,NO,*,YES,122,174,"833,902","566,600",0.6795
NO,*,*,NO,YES,NO,NO,NO,*,YES,122,174,"833,902","566,600",0.6795
NO,YES,NO,*,*,NO,NO,NO,*,YES,70,174,"1,032,118","429,935",0.4166
NO,*,*,*,*,NO,YES,NO,*,YES,113,174,"1,007,282","644,602",0.6399
NO,YES,NO,YES,*,NO,*,NO,*,YES,76,174,"1,049,369","490,363",0.4673
YES,*,*,YES,YES,YES,YES,*,*,YES,30,174,"988,753","193,863",0.1961
*,YES,NO,YES,*,YES,*,NO,NO,*,0,174,"917,841",0,0.0000
*,*,*,*,NO,*,YES,YES,NO,*,0,174,"1,262,338",0,0.0000
*,NO,YES,YES,*,*,YES,*,NO,*,0,174,"1,398,851",0,0.0000
*,NO,YES,*,*,*,YES,*,NO,*,0,174,"1,398,851",0,0.0000
NO,*,*,*,NO,*,*,*,NO,*,0,174,"1,206,184",0,0.0000
NO,NO,YES,YES,*,*,*,*,NO,*,0,174,"1,267,713",0,0.0000
NO,NO,YES,*,*,*,*,*,NO,*,0,174,"1,267,713",0,0.0000
*,YES,NO,*,*,NO,NO,NO,YES,*,144,174,"1,145,118","944,498",0.8248
NO,YES,*,YES,YES,NO,YES,*,YES,*,152,174,"1,167,914","1,010,245",0.8650
NO,*,YES,YES,YES,*,*,*,YES,*,159,174,"1,226,406","1,137,357",0.9274
NO,*,YES,*,YES,*,*,*,YES,*,159,174,"1,226,406","1,137,357",0.9274
YES,YES,NO,NO,YES,*,YES,YES,*,*,17,174,"1,358,569","117,528",0.0865
YES,YES,*,NO,YES,*,YES,YES,*,*,17,174,"1,358,569","117,528",0.0865
*,NO,*,*,YES,NO,NO,*,NO,NO,0,173,"1,703,243",0,0.0000
NO,*,NO,*,*,NO,NO,*,NO,NO,0,173,"1,259,640",0,0.0000
*,YES,*,*,YES,NO,YES,*,NO,NO,0,173,"1,371,677",0,0.0000
NO,YES,*,*,YES,NO,*,*,NO,NO,0,173,"1,264,416",0,0.0000
*,YES,*,*,*,*,*,YES,YES,NO,151,173,"1,380,695","1,226,248",0.8881
NO,*,NO,*,YES,*,*,*,YES,NO,147,173,"1,228,537","1,043,014",0.8490
*,NO,*,YES,YES,NO,NO,*,*,NO,24,173,"1,753,234","188,812",0.1077
YES,*,NO,NO,*,*,YES,*,*,NO,43,173,"1,269,770","296,762",0.2337
YES,*,*,NO,*,*,YES,*,*,NO,43,173,"1,269,770","296,762",0.2337
YES,*,NO,*,*,YES,*,*,*,NO,48,173,"1,346,940","327,316",0.2430
NO,YES,*,YES,*,*,*,*,*,NO,38,173,"1,306,954","326,015",0.2494
YES,YES,YES,YES,*,NO,NO,NO,NO,YES,1,173,"1,296,572","25,277",0.0195
YES,YES,YES,*,*,NO,NO,NO,NO,YES,1,173,"1,296,572","25,277",0.0195
YES,*,*,*,YES,*,YES,NO,NO,YES,1,173,"1,096,689","11,210",0.0102
NO,NO,*,YES,YES,YES,*,NO,NO,YES,0,173,"780,091",0,0.0000
YES,NO,*,YES,*,YES,NO,NO,YES,YES,159,173,"879,064","792,530",0.9016
NO,YES,NO,*,YES,NO,YES,*,YES,YES,151,173,"1,128,094","977,311",0.8663
YES,NO,*,*,*,NO,YES,*,YES,YES,152,173,"1,299,050","1,113,538",0.8572
YES,YES,*,YES,YES,*,YES,*,YES,YES,145,173,"1,334,410","1,140,999",0.8551
YES,YES,NO,*,*,*,YES,*,YES,YES,147,173,"1,270,533","1,071,940",0.8437
YES,YES,YES,YES,YES,NO,*,*,YES,YES,132,173,"1,506,118","1,213,463",0.8057
YES,YES,YES,*,YES,NO,*,*,YES,YES,132,173,"1,506,118","1,213,463",0.8057
*,*,NO,*,*,YES,YES,NO,*,YES,83,173,"847,940","418,043",0.4930
YES,*,NO,YES,*,*,YES,NO,*,YES,58,173,"1,087,359","369,579",0.3399
YES,NO,NO,*,*,*,YES,NO,*,YES,87,173,"972,305","487,816",0.5017
