in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,NO,*,*,*,*,NO,*,*,YES,1669,12335,"83,545,965","10,440,665",0.1250
*,YES,*,YES,YES,NO,*,*,NO,*,5,12322,"98,339,827","50,946",0.0005
*,YES,*,YES,*,*,NO,YES,*,YES,756,12315,"94,680,925","5,645,859",0.0596
YES,YES,*,YES,*,*,*,YES,NO,*,1,12312,"97,498,079","8,980",0.0001
YES,YES,*,*,YES,*,*,YES,NO,YES,2,12304,"96,162,602","11,771",0.0001
YES,NO,*,*,*,*,*,YES,*,YES,1756,12302,"89,094,428","11,914,844",0.1337
*,YES,*,YES,YES,*,NO,*,NO,YES,4,12289,"93,762,608","45,925",0.0005
*,*,NO,YES,*,*,NO,YES,*,YES,1426,12289,"85,297,689","9,701,629",0.1137
*,NO,*,*,*,*,*,YES,NO,*,14,12277,"88,842,146","61,930",0.0007
*,YES,*,*,YES,*,NO,YES,NO,*,3,12259,"94,628,314","20,648",0.0002
YES,*,*,YES,YES,NO,NO,*,NO,*,10,12255,"98,466,767","62,970",0.0006
*,YES,*,YES,YES,*,NO,YES,*,YES,747,12254,"94,166,443","5,567,483",0.0591
*,YES,*,YES,*,NO,*,YES,*,YES,949,12254,"97,308,713","7,103,718",0.0730
YES,NO,*,*,YES,*,NO,*,*,YES,1635,12242,"82,909,632","10,205,510",0.1231
YES,YES,*,*,YES,*,NO,*,NO,*,3,12242,"94,407,557","39,278",0.0004
*,*,NO,YES,YES,*,NO,YES,*,YES,1408,12216,"84,727,823","9,557,343",0.1128
YES,NO,*,*,YES,*,*,YES,*,YES,1721,12215,"88,478,828","11,651,579",0.1317
YES,YES,*,YES,YES,*,*,YES,NO,*,1,12212,"96,646,453","8,980",0.0001
YES,*,*,*,*,NO,NO,YES,*,YES,833,12202,"97,422,246","6,331,232",0.0650
*,NO,NO,*,YES,*,*,*,NO,*,18,12199,"83,485,925","91,016",0.0011
*,NO,*,*,YES,*,NO,YES,*,*,2413,12194,"85,170,607","15,385,856",0.1806
*,YES,*,YES,YES,NO,*,YES,*,YES,931,12174,"96,634,985","6,969,454",0.0721
*,NO,*,*,*,*,NO,*,NO,*,17,12164,"82,645,045","78,359",0.0009
YES,*,NO,YES,*,*,*,YES,*,*,1012,12150,"87,595,765","7,432,926",0.0849
*,*,NO,YES,*,*,*,YES,NO,YES,9,12139,"85,678,425","34,212",0.0004
YES,*,*,*,YES,NO,NO,YES,*,YES,821,12134,"96,904,961","6,232,815",0.0643
*,NO,*,*,YES,*,*,YES,NO,*,14,12126,"87,765,191","61,930",0.0007
*,YES,*,*,YES,NO,*,YES,NO,*,4,12124,"96,942,404","23,440",0.0002
YES,*,*,YES,*,NO,NO,YES,*,*,749,12124,"98,573,672","5,851,588",0.0594
YES,YES,*,*,*,NO,*,*,*,YES,696,12107,"96,920,610","5,460,187",0.0563
YES,YES,*,YES,*,*,NO,*,*,YES,530,12098,"93,197,398","4,109,234",0.0441
*,*,NO,YES,*,NO,*,*,*,YES,2156,12094,"87,773,612","14,294,669",0.1629
*,NO,*,*,*,YES,*,YES,*,*,3006,12064,"81,386,829","18,044,761",0.2217
*,*,NO,YES,YES,*,*,YES,NO,YES,9,12061,"85,078,462","34,212",0.0004
YES,YES,*,*,*,*,NO,YES,*,*,542,12061,"94,118,019","4,261,872",0.0453
YES,YES,*,YES,*,NO,*,*,*,*,669,12055,"97,744,301","5,360,304",0.0548
*,*,NO,*,YES,NO,*,YES,*,*,1970,12044,"88,955,059","13,617,693",0.1531
YES,YES,*,YES,YES,*,NO,*,*,YES,523,12041,"92,721,487","4,045,520",0.0436
*,NO,*,*,YES,*,NO,*,NO,*,16,12034,"81,671,325","68,695",0.0008
YES,*,*,YES,YES,NO,NO,YES,*,*,738,12032,"97,792,500","5,753,944",0.0588
*,NO,NO,*,*,*,*,*,NO,YES,18,12026,"82,016,880","91,016",0.0011
YES,*,NO,YES,YES,*,*,YES,*,*,978,12008,"86,433,406","7,152,422",0.0828
YES,YES,*,*,YES,NO,*,*,*,YES,675,12003,"96,079,900","5,286,306",0.0550
*,*,NO,YES,YES,NO,*,*,*,YES,2123,11995,"87,004,396","14,065,662",0.1617
*,NO,*,*,*,*,NO,YES,*,YES,2398,11992,"83,075,939","15,215,946",0.1832
*,*,NO,*,*,YES,*,YES,*,*,3006,11974,"79,938,673","17,997,413",0.2251
*,NO,NO,*,YES,*,*,*,NO,YES,18,11935,"81,399,364","91,016",0.0011
YES,YES,*,YES,YES,NO,*,*,*,*,643,11933,"96,703,181","5,161,927",0.0534
*,*,*,YES,*,NO,NO,YES,NO,YES,8,11924,"94,668,577","35,392",0.0004
*,NO,*,*,YES,YES,*,YES,*,*,2928,11923,"80,465,794","17,543,051",0.2180
YES,YES,*,*,YES,*,NO,YES,*,*,518,11915,"92,984,882","4,055,731",0.0436
YES,YES,*,*,*,*,NO,*,NO,YES,2,11910,"91,158,976","34,257",0.0004
*,YES,*,YES,*,NO,*,*,NO,YES,4,11909,"94,468,011","45,925",0.0005
*,NO,*,*,YES,*,NO,YES,*,YES,2356,11897,"82,451,535","14,936,207",0.1812
YES,YES,*,YES,*,*,*,YES,NO,YES,1,11893,"93,425,624","8,980",0.0001
*,YES,*,*,*,NO,NO,*,*,YES,943,11888,"92,686,618","6,950,905",0.0750
*,NO,*,*,*,YES,*,YES,*,YES,2940,11884,"80,070,108","17,618,089",0.2200
YES,*,*,YES,*,NO,NO,*,NO,YES,9,11872,"94,416,394","57,949",0.0006
*,*,*,YES,YES,NO,NO,YES,NO,YES,8,11871,"94,251,879","35,392",0.0004
YES,YES,*,*,*,NO,*,*,NO,*,5,11865,"95,857,391","51,733",0.0005
*,NO,*,*,*,*,*,YES,NO,YES,14,11862,"85,255,932","61,930",0.0007
*,NO,*,*,*,*,NO,*,NO,YES,16,11856,"79,838,178","68,695",0.0009
YES,YES,*,*,*,NO,*,YES,*,*,658,11852,"96,343,467","5,234,669",0.0543
*,YES,*,*,*,*,NO,YES,NO,YES,3,11847,"90,834,362","20,648",0.0002
*,YES,*,YES,YES,NO,*,*,NO,YES,4,11843,"93,902,500","45,925",0.0005
YES,YES,*,YES,YES,*,*,YES,NO,YES,1,11839,"92,980,580","8,980",0.0001
YES,YES,*,*,YES,*,NO,*,NO,YES,2,11838,"90,610,595","34,257",0.0004
YES,*,*,YES,YES,NO,NO,*,NO,YES,9,11822,"94,026,258","57,949",0.0006
*,YES,*,YES,*,NO,NO,*,*,*,879,11813,"93,653,508","6,718,422",0.0717
YES,YES,*,YES,*,*,NO,*,NO,*,3,11808,"91,801,901","39,278",0.0004
*,*,NO,*,YES,YES,*,YES,*,*,2928,11808,"78,833,136","17,489,187",0.2219
*,*,NO,*,*,NO,NO,*,*,*,2176,11808,"84,390,083","14,154,524",0.1677
YES,*,NO,YES,*,*,*,YES,*,YES,963,11806,"84,568,418","7,000,659",0.0828
*,YES,*,YES,*,*,NO,YES,NO,*,3,11800,"91,822,046","20,648",0.0002
*,YES,*,*,YES,NO,NO,*,*,YES,920,11798,"91,962,124","6,765,853",0.0736
*,NO,*,*,YES,*,*,YES,NO,YES,14,11793,"84,807,625","61,930",0.0007
*,NO,*,*,YES,*,NO,*,NO,YES,16,11784,"79,345,529","68,695",0.0009
YES,*,*,*,*,NO,NO,YES,NO,*,7,11783,"95,484,819","33,388",0.0003
*,NO,*,*,YES,YES,*,YES,*,YES,2878,11775,"79,364,428","17,214,116",0.2169
*,YES,*,*,YES,*,NO,YES,NO,YES,3,11773,"90,241,388","20,648",0.0002
*,*,NO,*,*,YES,*,YES,*,YES,2937,11766,"78,423,520","17,550,120",0.2238
YES,*,NO,YES,*,*,NO,*,NO,*,10,11764,"80,756,797","43,137",0.0005
YES,YES,*,YES,YES,*,NO,*,NO,*,3,11733,"91,170,566","39,278",0.0004
YES,*,NO,YES,YES,*,*,YES,*,YES,941,11728,"83,965,309","6,822,518",0.0813
*,YES,*,YES,YES,*,NO,YES,NO,*,3,11713,"91,115,658","20,648",0.0002
*,YES,*,YES,YES,NO,NO,*,*,*,859,11706,"92,766,653","6,556,575",0.0707
YES,*,NO,YES,YES,*,NO,*,NO,*,10,11687,"80,107,644","43,137",0.0005
YES,*,*,*,*,YES,*,*,NO,*,4,11674,"77,837,793","24,280",0.0003
YES,YES,*,*,YES,NO,*,*,NO,*,4,11669,"94,298,773","42,069",0.0004
