in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
NO,*,*,NO,*,*,NO,YES,*,51,154,1014160.12,306740.18,0.3025
*,*,NO,NO,YES,NO,YES,YES,*,45,154,1125874.21,364376.10,0.3236
*,*,*,NO,YES,NO,YES,YES,*,45,154,1125874.21,364376.10,0.3236
*,YES,*,YES,*,NO,YES,YES,*,32,154,1228316.30,236062.08,0.1922
*,YES,NO,NO,NO,*,*,YES,*,36,154,1075972.33,232568.10,0.2161
*,YES,*,NO,NO,*,*,YES,*,36,154,1075972.33,232568.10,0.2161
YES,*,NO,*,YES,NO,YES,*,*,35,154,1229569.70,296197.38,0.2409
NO,*,NO,NO,*,NO,YES,*,*,61,154,1079414.64,448595.33,0.4156
NO,*,*,NO,*,NO,YES,*,*,61,154,1079414.64,448595.33,0.4156
NO,YES,*,*,*,NO,YES,*,*,51,154,1079408.64,352507.27,0.3266
YES,*,NO,NO,NO,*,*,*,*,46,154,1080305.93,303224.26,0.2807
YES,*,*,NO,NO,*,*,*,*,46,154,1080305.93,303224.26,0.2807
*,*,*,*,NO,*,NO,YES,NO,1,153,1196209.29,9664.01,0.0081
*,*,*,*,NO,NO,NO,*,NO,2,153,1196290.14,19328.03,0.0162
YES,YES,NO,YES,*,NO,NO,YES,*,16,153,1370333.83,140657.14,0.1026
NO,*,NO,*,YES,NO,YES,YES,*,52,153,1099863.59,389830.39,0.3544
*,*,NO,*,NO,*,YES,YES,*,44,153,1072699.41,289362.39,0.2698
NO,*,NO,NO,*,NO,*,YES,NO,0,152,1073637.58,0.00,0.0000
NO,*,*,NO,*,NO,*,YES,NO,0,152,1073637.58,0.00,0.0000
YES,NO,*,YES,YES,*,*,YES,NO,0,152,1588286.71,0.00,0.0000
*,*,NO,*,NO,*,NO,*,NO,2,152,1139103.27,19328.03,0.0170
YES,YES,*,*,*,NO,YES,*,NO,0,152,1263768.81,0.00,0.0000
*,NO,*,*,*,*,YES,*,NO,0,152,1092353.10,0.00,0.0000
NO,*,*,YES,YES,NO,*,*,NO,0,152,1150080.11,0.00,0.0000
*,NO,NO,*,YES,*,*,*,YES,134,152,1090390.04,970827.68,0.8903
NO,*,*,YES,*,NO,NO,YES,*,36,152,1200123.24,322104.54,0.2684
*,*,*,*,*,YES,NO,YES,*,42,152,1167263.73,305685.12,0.2619
YES,*,NO,NO,*,*,YES,YES,*,33,152,1137631.46,247362.56,0.2174
